area,density,crit. CV,crit. peak,TW,L,s,speed,circuity,cap,mrt,veh,veh-hrs,veh-km
6954.9,0.07103,0.5814,106,55,448,5,37,1.0369,12,1.847,4.691347882,6.586323367,10.19724128
1921.9,0.15557,0.65451,44,16,524,5,39,1.4231,11,2.2654,3.988984047,5.834927689,9.498489335
6022,0.01727,0.62521,24,26,476,2,24,1.4569,10,2.1065,4.204692619,6.150261559,9.328315389
1447.4,0.21348,0.63507,46,39,551,8,28,1.2693,12,2.7143,3.951243719,5.956950739,9.289155249
5156.2,0.022109,0.28944,18,23,492,6,27,1.4779,9,1.9588,3.970291914,5.908762055,9.204598921
1040.1,0.30766,0.77979,53,44,505,3,35,1.0338,11,2.7145,3.465735903,5.250858815,8.806206877
4357.6,0.028685,0.21933,19,37,364,5,20,1.1242,11,1.6544,4.418840608,6.102222968,9.097955241
699.93,0.47148,0.86409,61,46,551,6,38,1.4747,6,2.1259,3.610917913,5.525293564,9.162879724
3626.2,0.037229,0.62216,28,30,381,7,22,1.0034,5,2.9025,4.025351691,5.772966439,8.864008892
426.9,0.79644,0.52681,49,38,514,5,30,1.2407,4,2.5473,3.583518938,5.362043057,8.763240439
2961.9,0.048955,0.32047,23,33,515,3,11,1.0287,5,2.9193,4.510859507,6.578487031,8.976382304
221.03,1.588,0.79062,69,44,515,7,32,1.273,5,2.4455,3.610917913,5.342812606,8.808548509
2364.8,0.065968,0.34738,24,42,410,4,21,1.2159,12,1.8825,4.043051268,5.804170649,8.848693086
6788.2,0.053181,0.23705,40,45,580,4,18,1.2524,10,1.8054,5.214935758,7.420159656,10.31053141
1834.8,0.090473,0.3229,26,39,381,4,39,1.0293,10,2.521,3.258096538,4.923551187,8.587112833
5867,0.063235,0.35028,49,46,448,5,27,1.0336,11,1.5828,4.709530201,6.60478358,9.900620446
1372,0.12828,0.30914,24,50,598,2,26,1.3156,10,2.1865,3.33220451,5.351336671,8.609433209
5012.9,0.076204,0.48901,52,39,507,8,29,1.2561,8,1.993,4.663439094,6.705981753,10.07327758
976.28,0.19154,0.15411,23,29,554,4,15,1.2714,6,1.9863,3.828641396,5.81660508,8.524655281
4225.9,0.092761,0.57451,54,55,381,3,20,1.4042,11,2.5584,5.613128106,7.486164782,10.48189706
647.75,0.30413,0.21601,26,16,481,6,11,1.0277,9,2.8897,3.988984047,5.895146359,8.293041632
3506.1,0.11466,0.32725,58,28,374,2,36,1.3863,13,2.0533,4.624972813,6.328383113,9.911902051
386.37,0.53576,0.3184,28,59,412,4,22,1.1263,6,2.3226,3.258096538,4.966056251,8.057098704
