area,density,crit. CV,crit. peak,TW,L,s,speed,circuity,cap,mrt,veh,veh-hrs,veh-km
1298.5,0.34193,0.51792,65,35,411,3,40,1.4694,7,2.6465,59,340.54,13621.6
4871.5,0.051113,0.65635,31,46,597,8,33,1.2193,11,2.7417,51,450.91,14880.03
914.46,0.49647,0.42095,71,54,433,5,38,1.4141,12,2.6444,54,349.13,13266.94
4096.2,0.063229,0.16546,28,54,492,3,39,1.1532,13,1.692,45,303.2,11824.8
597.59,0.77646,0.32457,65,24,569,3,15,1.1996,10,2.1672,70,536.57,8048.55
3388.1,0.079395,0.45884,42,23,554,4,27,1.1467,10,2.3963,54,422.95,11419.65
347.86,1.3655,0.44231,74,36,533,3,29,1.0744,9,1.8156,38,224.93,6522.97
2747.1,0.10193,0.51831,34,30,580,2,37,1.1623,12,1.7794,39,273.15,10106.55
7426,0.065311,0.59221,87,46,448,3,12,1.2161,7,1.9714,468,4988.3,59859.6
2173.3,0.13344,0.18467,33,51,452,5,35,1.2177,7,1.7345,53,342.38,11983.3
6460.9,0.076614,0.87421,118,34,412,3,40,1.2821,12,1.9371,126,770.5,30820
1666.6,0.18001,0.62444,42,33,476,4,20,1.2753,5,2.7392,66,476.83,9536.6
5563,0.019054,0.5914,19,27,538,7,37,1.2292,9,2.5416,29,214.61,7940.57
1227.1,0.25345,0.72768,51,52,447,2,35,1.1213,10,2.3173,34,198.37,6942.95
4732.2,0.024513,0.63432,24,59,419,6,11,1.264,8,1.9974,115,1085,11935
854.68,0.37558,0.32298,31,55,375,8,38,1.067,11,1.9357,48,262.13,9960.94
3968.6,0.031749,0.28884,20,52,590,4,18,1.3367,8,2.4316,50,423.32,7619.76
549.45,0.60242,0.5789,47,45,575,7,31,1.0465,10,2.8874,32,224.52,6960.12
3272.1,0.041564,0.28161,22,19,510,3,12,1.45,6,2.0666,114,1017.1,12205.2
311.37,1.0984,0.63897,59,39,427,2,10,1.0066,11,2.8624,55,335.38,3353.8
2642.7,0.055624,0.29881,24,50,493,7,40,1.2651,5,1.7329,31,195.36,7814.4
7253.8,0.048526,0.23721,42,46,454,5,20,1.3358,5,1.5646,265,2061,41220
2080.6,0.07546,0.32153,23,45,494,5,19,1.2602,9,2.753,45,330.32,6276.08
6300.3,0.057457,0.3629,44,31,470,3,18,1.1073,6,2.6902,202,1520.6,27370.8
